Real-time data - subject to revision
Copyright Environment Canada(2023)

"Real-Time Hydrometric Data for STUART RIVER NEAR FORT ST. JAMES (08JE001) [BC]"

08JE001,"STUART RIVER NEAR FORT ST. JAMES"
Description of parameters:
5,"Water temperature (No Quality Assurance)",°C

Date (PST),Parameter ,Value(°C)
2022-09-29 00:00:00,5,14.62
2022-09-29 01:00:00,5,14.54
2022-09-29 02:00:00,5,14.5
2022-09-29 03:00:00,5,14.53
2022-09-29 04:00:00,5,14.56
2022-09-29 05:00:00,5,14.52
2022-09-29 06:00:00,5,14.41
2022-09-29 07:00:00,5,14.33
2022-09-29 08:00:00,5,14.28
2022-09-29 09:00:00,5,14.3
2022-09-29 10:00:00,5,14.41
2022-09-29 11:00:00,5,14.58
2022-09-29 12:00:00,5,14.86
2022-09-29 13:00:00,5,15.23
2022-09-29 14:00:00,5,15.61
2022-09-29 15:00:00,5,15.85
2022-09-29 16:00:00,5,15.9
2022-09-29 17:00:00,5,15.88
2022-09-29 18:00:00,5,15.81
2022-09-29 19:00:00,5,15.7
